SalePrice,Id
132039.52149072432,1461
161662.9257995761,1462
175168.622885179,1463
193840.07635358808,1464
220870.2398130611,1465
161649.24690658762,1466
173242.68753195036,1467
159268.4596892675,1468
192668.7991079614,1469
118291.83534204107,1470
169140.10773919715,1471
97109.93429345345,1472
90552.19552192665,1473
134069.0316923864,1474
86949.47638098896,1475
379079.9482150164,1476
253595.51252890032,1477
303948.77398698486,1478
304455.5986502104,1479
446276.43863542075,1480
334976.45778887544,1481
210354.04728513784,1482
172095.67959646686,1483
175323.3561929814,1484
188148.11184549294,1485
199586.635840522,1486
363309.98170838086,1487
225693.37943435833,1488
192838.051827108,1489
243227.1089044965,1490
205802.67617571604,1491
98415.56665754208,1492
214072.7929858943,1493
329532.1107741238,1494
318568.1171929017,1495
245419.24080278393,1496
171335.5752751664,1497
184141.99435572638,1498
166766.824831107,1499
152645.2097636458,1500
165819.21315625383,1501
137899.51033449252,1502
274121.98762669356,1503
235861.315645874,1504
229163.95294590323,1505
198845.75052649842,1506
236568.47937878332,1507
207891.30604819892,1508
151383.89263693255,1509
156779.29367497563,1510
150160.93408768406,1511
178563.75817642923,1512
140010.84098394506,1513
182100.55725001867,1514
195046.22837213773,1515
153432.1291305057,1516
178331.0849183217,1517
126497.59700579263,1518
232958.6287728494,1519
120802.57142312039,1520
119244.7770394339,1521
189774.85455094892,1522
101274.10845770521,1523
118430.25719472997,1524
112659.99896032759,1525
83550.46372336528,1526
96698.81642679335,1527
147707.66019070003,1528
161386.79133127976,1529
176863.48850889332,1530
122036.28896602576,1531
95810.8805396673,1532
148106.77392226193,1533
131800.71079297713,1534
155877.58945865103,1535
122133.79325502712,1536
56208.94084803102,1537
171822.94193124535,1538
188372.40709648366,1539
93938.36986124872,1540
146036.72764088362,1541
158921.02225783758,1542
167280.21567334924,1543
75287.12577264171,1544
109944.05244023236,1545
176209.4943089033,1546
145281.20509827766,1547
144467.9184054933,1548
125371.5120577095,1549
159732.71397404707,1550
111068.32244201691,1551
149051.87118678543,1552
177692.34634593004,1553
116497.09407956904,1554
189108.40921881725,1555
86740.3012419169,1556
110073.15406517225,1557
96834.02335863921,1558
72993.2516155614,1559
138782.83960599246,1560
132888.05546139847,1561
134489.68165371302,1562
122276.51894369339,1563
161891.19551519034,1564
172734.4516042385,1565
258086.44467663387,1566
66216.77236655062,1567
237406.747629307,1568
141518.20234854223,1569
149567.5678859798,1570
103430.49905270635,1571
140777.70226239154,1572
222167.25335938158,1573
135012.08952807472,1574
267799.155482632,1575
269788.46965260414,1576
176109.33659911974,1577
163161.1101653249,1578
148495.80297985591,1579
191005.94651851032,1580
148837.49470012696,1581
136536.119556895,1582
280220.30043255223,1583
220576.02079908425,1584
126827.09369357096,1585
55230.6736211942,1586
120556.75876786979,1587
167516.73017735308,1588
98724.7457743742,1589
119446.33568218257,1590
84919.55316798008,1591
125263.11948936118,1592
128491.71520851934,1593
118903.46743634404,1594
110834.53984028066,1595
230971.3245498037,1596
176576.18749226636,1597
192394.2291980055,1598
187189.44799622515,1599
180144.60109574735,1600
40980.88279274357,1601
125568.76394146055,1602
81768.45059992139,1603
284597.9625679307,1604
232373.13039901727,1605
163062.5612144962,1606
195489.23350206108,1607
198171.43720235047,1608
179379.50145623833,1609
142007.52562826592,1610
109400.8712720385,1611
178384.52940388813,1612
167528.66747767985,1613
130684.50653305951,1614
89587.42132775082,1615
73362.71852274513,1616
80302.70118471634,1617
130508.48670588553,1618
138754.4479795048,1619
131019.74125731584,1620
115610.07444692194,1621
143060.97648091405,1622
282314.87096072535,1623
207610.30839759507,1624
118207.85992656945,1625
177625.7352330439,1626
200872.85073966256,1627
273908.18299856584,1628
176918.8391653817,1629
290702.5968986221,1630
